year,month,PRCP_10,SM_100,RO
2005,5,4.775999832,2.563430176,0.88013
2005,6,3.493000031,2.125275421,0.76693
2005,7,11.49899979,1.800343475,0.63675
2005,8,0.559000015,1.869370575,0.44148
2005,9,10.62699966,1.802999573,0.40469
2005,10,4.579000092,1.778579559,0.31413
2005,11,7.209999847,1.785146942,0.38205
2005,12,1.473999977,1.952987976,0.42167
2006,1,1.670000076,1.911741943,0.4528
2006,2,1.164999962,1.84975296,0.44431
2006,3,1.318999958,1.798670807,0.38771
2006,4,0,1.667543945,0.3113
2006,5,5.681999969,1.67371109,0.239701
2006,6,10.31600037,1.798665771,1.94421
2006,7,14.06399994,1.901763916,0.71316
2006,8,1.818000031,1.830890045,0.258945
2006,9,16.13200073,2.134140167,7.56742
2006,10,8.944999695,2.567871094,0.68203
2006,11,0.559000015,2.936161499,0.52638
2006,12,5.059000015,2.925119629,0.58298
2007,1,16.68899994,3.320208435,12.50011
2007,2,0.526000023,3.375637817,1.07257
2007,3,9.741000366,3.123507385,9.88236
2007,4,6.883000183,2.96153717,11.76714
2007,5,6.054000092,2.967495117,1.61027
2007,6,5.693000031,3.089472351,1.12917
2007,7,52.475,3.308218079,59.1753
2007,8,9.747000122,3.549447632,5.66
2007,9,6.788999939,3.479642639,6.60239
2007,10,4.404999924,3.400634155,0.74146
2007,11,2.740999985,3.217685242,0.52355
2007,12,0.352999997,3.138461914,0.43299
2008,1,7.680000305,3.208336792,0.42167
2008,2,1.392000008,3.164103394,0.32262
2008,3,6.976999664,2.976459351,0.44431
2008,4,3.888999939,2.732975464,0.2264
2008,5,1.280000019,2.570834045,0.140651
2008,6,1.330000019,2.050469055,0.068203
2008,7,6.011999893,1.857438202,0.075844
2008,8,13.48099976,2.104364319,0.3396
2008,9,3.366999817,2.759971619,0.131595
2008,10,2.565999985,2.90300293,0.037073
2008,11,5.897999954,2.925905762,0.061977
2008,12,1.996999931,2.891850891,0.103578
2009,1,0.377999997,2.821507568,0.0566
2009,2,0.41500001,2.794140015,0.064241
2009,3,4.379999924,2.600057373,0.048959
2009,4,6.512000275,2.471950836,0.044148
2009,5,4.256000137,2.433851624,0.0082353
2009,6,0.109000003,2.039295959,0.0030564
2009,7,1.509000015,1.648719788,0.0015282
2009,8,0.332999992,1.533243866,0.0002264
2009,9,7.747000122,2.167860107,0.0088862
2009,10,15.53200073,3.156077881,10.73136
2009,11,17.98000031,3.273381958,17.22904
2009,12,11.52900009,3.381481018,5.96281
2010,1,10.00400009,3.443817139,11.7162
2010,2,11.33600006,3.568117981,16.53852
2010,3,4.604999924,3.316980286,0.94239
2010,4,2.645000076,3.05522522,7.62119
2010,5,6.022000122,2.970940552,1.23105
2010,6,8.458999634,2.76841217,0.33394
2010,7,26.46099854,3.167869568,12.46898
2010,8,1.256999969,2.836009521,0.31979
2010,9,33.34700012,3.586711121,19.05722
2010,10,0.02,3.428451538,0.94522
2010,11,3.340999985,3.32632843,0.59147
2010,12,3.35,3.267353516,0.51223
2011,1,10.83600006,3.623497314,4.54498
2011,2,0.931000042,3.463054504,0.56317
2011,3,0.473000002,3.278848267,0.3113
2011,4,0,2.913692017,0.222721
2011,5,2.479000092,2.508909607,0.123671
2011,6,1.962999916,2.061712952,0.048959
2011,7,0.276999998,1.72540802,0.0089711
2011,8,3.625999832,1.561086121,0.0033394
2011,9,2.986000061,1.53151413,0.0068486
2011,10,8.047000122,1.77957901,0.0114898
2011,11,0.680999994,1.826859741,0.000283
2011,12,5.843000031,2.107443542,0.0086598
2012,1,2.239999962,2.24850647,0.028017
2012,2,10.14899979,2.626329956,0.035658
2012,3,8.211000061,2.708860474,0.062826
2012,4,7.833000183,2.887209473,1.12068
2012,5,2.879999924,2.758760986,0.32545
2012,6,2.482999992,2.273183746,0.0066788
2012,7,6.091999817,2.285805054,0.214231
2012,8,1.280000019,2.08491333,0.000283
2012,9,16.86300049,1.943036804,0.0241682
2012,10,1.853000069,2.355884247,0.0275642
2012,11,5.229000092,2.211869354,0.0166121
2012,12,0.298000002,2.20067627,0.0086598
2013,1,9.444000244,2.604928284,0.0275925
2013,2,8,2.685311584,0.136689
2013,3,0.245000005,2.547420654,0.0112068
2013,4,7.519999695,2.416019592,0.43865
2013,5,4.281999969,2.49862915,9.87104
2013,6,7.055000305,2.348727417,0.42167
2013,7,5.658000183,2.008695984,0.0152537
2013,8,4.263000107,1.811759644,0.0093107
2013,9,14.97100067,2.027750854,0.0144047
2013,10,8.344000244,2.601650391,0.0092541
2013,11,6.204000092,2.774043579,0.0091692
2013,12,2.462999916,3.016799622,0.0071882
2014,1,2.540999985,3.089820862,0.0060562
2014,2,1.485999966,3.025052795,0.0043299
2014,3,6.623000336,3.028652344,0.017829
2014,4,0.509999991,2.751875,0.0089711
2014,5,10.95800018,2.694589233,0.032545
2014,6,18.34499969,2.504632111,0.42167
2014,7,2.7,2.237372437,0.0039903
2014,8,3.681999969,2.006579285,0.000283
2014,9,9.076999664,2.153524323,0.0003396
2014,10,8.004000092,2.134117279,0.0039337
2014,11,9.009999847,2.620137634,0.0092541
2014,12,6.259000015,2.68579895,0.006792
2015,1,4.963999939,2.986708069,0.003679
2015,2,3.772000122,3.08834137,0.0046129
2015,3,21.60099945,3.478985596,14.08491
2015,4,11.90299988,3.620431519,16.89227
2015,5,19.56999969,3.742572937,23.42674
2015,6,14.41600037,3.569709778,9.23146
2015,7,2.613999939,3.093381348,0.67071
2015,8,10.92699966,2.708793945,0.52072
2015,9,16.41300049,2.757957764,0.187346
2015,10,10.99899979,2.912558289,0.6792
2015,11,3.786999893,3.287606201,0.33111
2015,12,4.398799896,3.305526123,0.156782
2016,1,6.961299896,3.577486267,1.13766
